home,away,homePoints,awayPoints,homeBlocks,homeDefensiveRebounds,homeSteals,homeTurnoverPoints,homeDisqualifications,homeFlagrantFouls,homeFouls,homeEjections,homeTechnicalFouls,homeRebounds,homeAssistTurnoverRatio,homeStealFoulRatio,homeBlockFoulRatio,homeTeamAssistTurnoverRatio,homeStealTurnoverRatio,homeGamesPlayed,homeGamesStarted,homeDoubleDouble,homeTripleDouble,homeAssists,homeFieldGoals,homeFieldGoalsAttempted,homeFieldGoalsMade,homeFieldGoalPct,homeFreeThrows,homeFreeThrowPct,homeFreeThrowsAttempted,homeFreeThrowsMade,homeOffensiveRebounds,homeTurnovers,homeThreePointFieldGoalsAttempted,homeThreePointFieldGoalsMade,homeTeamTurnovers,homePointsInPaint,homeFastBreakPoints,homeOffensiveReboundPct,homeEstimatedPossessions,homePointsPerEstimatedPossessions,homeThreePointFieldGoalPct,homeTwoPointFieldGoalsMade,homeTwoPointFieldGoalsAttempted,homeTwoPointFieldGoalPct,homeShootingEfficiency,homeScoringEfficiency,homeLargestLead,awayBlocks,awayDefensiveRebounds,awaySteals,awayTurnoverPoints,awayDisqualifications,awayFlagrantFouls,awayFouls,awayEjections,awayTechnicalFouls,awayRebounds,awayAssistTurnoverRatio,awayStealFoulRatio,awayBlockFoulRatio,awayTeamAssistTurnoverRatio,awayStealTurnoverRatio,awayGamesPlayed,awayGamesStarted,awayDoubleDouble,awayTripleDouble,awayAssists,awayFieldGoals,awayFieldGoalsAttempted,awayFieldGoalsMade,awayFieldGoalPct,awayFreeThrows,awayFreeThrowPct,awayFreeThrowsAttempted,awayFreeThrowsMade,awayOffensiveRebounds,awayTurnovers,awayThreePointFieldGoalsAttempted,awayThreePointFieldGoalsMade,awayTeamTurnovers,awayPointsInPaint,awayFastBreakPoints,awayOffensiveReboundPct,awayEstimatedPossessions,awayPointsPerEstimatedPossessions,awayThreePointFieldGoalPct,awayTwoPointFieldGoalsMade,awayTwoPointFieldGoalsAttempted,awayTwoPointFieldGoalPct,awayShootingEfficiency,awayScoringEfficiency,awayLargestLead
2,2433,93,65,10,29,9,19,0,0,22,0,0,39,1.7,0.4090909,0.45454547,0,0.9,1,0,0,0,17,0.483333,60,29,48.33333194255829,0.78125,78.125,32,25,10,10,25,10,0,36,18,0.32258064,72.8,1.2774725,40.00000059604645,19,35,54.28571701049805,0.56666666,1.55,28,3,23,6,11,1,0,25,0,0,30,0.5,0.24,0.12,8,0.375,1,0,0,0,8,0.418182,55,23,41.81818068027496,0.583333,58.33333134651184,24,14,7,16,20,5,1,32,15,0.21875,74.6,0.8713137,25,18,35,51.428574323654175,0.46363637,1.1818181,8
2,41,109,115,1,23,13,0,1,0,24,0,0,35,1,0.5416667,0.041666668,14,0.9285714,1,0,0,0,14,0.432432,74,32,43.24324429035187,0.804878,80.48780560493469,41,33,12,14,30,12,1,0,0,0.2857143,93.4,1.1670235,40.00000059604645,20,44,45.45454680919647,0.5135135,1.472973,11,8,34,4,0,3,0,26,0,0,48,0.9583333,0.15384616,0.30769232,0,0.16666667,1,0,0,0,23,0.492754,69,34,49.275362491607666,0.842105,84.21052694320679,38,32,14,24,26,15,0,0,0,0.4,94.2,1.2208068,57.692307233810425,19,43,44.186046719551086,0.60144925,1.6666666,15
58,2,52,58,5,21,7,15,0,0,16,0,0,33,0.72727275,0.4375,0.3125,8,0.6363636,1,0,0,0,8,0.35,60,21,34.99999940395355,0.4,40.00000059604645,10,4,12,11,18,6,1,16,4,0.30769232,64,0.8125,33.33333432674408,15,42,35.71428656578064,0.4,0.8666667,15,7,27,6,6,0,0,15,0,0,44,0.85714287,0.4,0.46666667,3,0.42857143,1,0,0,0,12,0.344262,61,21,34.42623019218445,0.6875,68.75,16,11,17,14,26,5,4,28,19,0.425,68.4,0.8479532,19.23076957464218,16,35,45.71428596973419,0.3852459,0.9508197,8
2,2413,77,54,8,27,12,19,0,0,12,0,0,36,2.1666667,1,0.6666667,0,2,1,0,0,0,13,0.463768,69,32,46.37681245803833,0.571429,57.14285969734192,7,4,9,6,31,9,0,0,0,0.24324325,68.8,1.119186,29.032257199287415,23,38,60.52631735801697,0.5289855,1.115942,29,3,28,6,6,0,0,9,0,0,39,0.3529412,0.6666667,0.33333334,0,0.3529412,1,0,0,0,6,0.372881,59,22,37.288135290145874,0.625,62.5,8,5,11,17,18,5,0,0,0,0.2972973,68.2,0.7917889,27.77777910232544,17,41,41.46341383457184,0.41525424,0.91525424,0
2,43,86,64,14,33,8,0,0,0,18,0,0,48,2.4285715,0.44444445,0.7777778,0,1.1428572,1,0,0,0,17,0.44,75,33,43.99999976158142,0.615385,61.538463830947876,13,8,15,7,34,12,0,0,0,0.35714287,72.2,1.1911358,35.29411852359772,21,41,51.21951103210449,0.52,1.1466666,34,1,30,5,0,0,0,15,0,0,43,0.9166667,0.33333334,0.06666667,0,0.41666666,1,0,0,0,11,0.323077,65,21,32.30769336223602,0.590909,59.090906381607056,22,13,13,12,25,9,0,0,0,0.29545453,72.8,0.8791208,36.000001430511475,12,40,30.000001192092896,0.3923077,0.9846154,0
2350,2,53,62,2,21,4,18,0,0,17,0,0,26,0.6111111,0.23529412,0.11764706,0,0.22222222,1,0,0,0,11,0.446809,47,21,44.68085169792175,0.444444,44.44444477558136,9,4,5,18,23,7,0,26,0,0.1923077,63.6,0.8333334,30.434781312942505,14,24,58.33333134651184,0.5212766,1.1276596,2,8,23,12,22,0,0,18,0,0,36,0.9230769,0.6666667,0.44444445,12,0.9230769,1,0,0,0,12,0.436364,55,24,43.63636374473572,0.642857,64.28571343421936,14,9,13,13,18,5,1,26,11,0.41935483,61.6,1.0064936,27.77777910232544,19,37,51.35135054588318,0.48181817,1.1272727,10
2,183,89,68,5,27,11,0,0,0,20,0,0,38,3.2857144,0.55,0.25,0,1.5714285,1,0,0,0,23,0.507463,67,34,50.74626803398132,0.692308,69.2307710647583,13,9,11,7,30,12,0,0,0,0.33333334,68.2,1.3049854,40.00000059604645,22,37,59.45945978164673,0.5970149,1.3283582,22,1,23,5,0,0,0,10,0,0,28,0.8666667,0.5,0.1,6.5,0.33333334,1,0,0,0,13,0.416667,48,20,41.66666567325592,0.807692,80.7692289352417,26,21,5,15,19,7,2,0,0,0.17857143,70.4,0.96590906,36.84210479259491,13,29,44.82758641242981,0.48958334,1.4166666,4
2,2116,85,68,8,28,10,19,0,0,21,0,0,40,1.0666667,0.47619048,0.3809524,16,0.6666667,1,0,0,0,16,0.453125,64,29,45.3125,0.772727,77.27272510528564,22,17,12,15,32,10,1,38,15,0.34285715,76.8,1.1067708,31.25,19,32,59.375,0.53125,1.328125,20,4,26,11,13,0,0,18,0,0,38,0.5,0.6111111,0.22222222,0,0.6111111,1,0,0,0,9,0.355932,59,21,35.593220591545105,0.758621,75.86206793785095,29,22,12,18,24,4,0,30,14,0.31578946,76.6,0.88772845,16.66666716337204,17,35,48.571428656578064,0.3898305,1.1525424,2
2,158,99,68,3,24,16,0,0,0,15,0,0,36,3.25,1.0666667,0.2,0,2,1,0,0,0,26,0.513158,76,39,51.31579041481018,0.636364,63.63636255264282,11,7,12,8,31,14,0,0,0,0.3243243,76.4,1.2958115,45.16128897666931,25,45,55.55555820465088,0.6052632,1.3026316,32,5,24,6,0,0,0,14,0,0,33,0.6,0.42857143,0.35714287,12,0.3,1,0,0,0,12,0.425926,54,23,42.592594027519226,0.882353,88.23529481887817,17,15,9,20,22,7,1,0,0,0.29032257,72.8,0.9340659,31.81818127632141,16,32,50,0.49074075,1.2592592,1
139,2,70,74,3,27,8,11,1,0,14,0,0,46,0.7058824,0.5714286,0.21428572,4,0.47058824,1,0,0,0,12,0.416667,60,25,41.66666567325592,0.666667,66.66666865348816,24,16,19,17,17,4,3,40,11,0.54285717,70.6,0.99150145,23.52941185235977,21,43,48.83720874786377,0.45,1.1666666,13,6,19,8,15,0,0,21,0,0,27,1.4545455,0.3809524,0.2857143,0,0.72727275,1,0,0,0,16,0.466667,60,28,46.666666865348816,0.6,60.00000238418579,15,9,8,11,23,9,0,32,7,0.25,69,1.0724638,39.13043439388275,19,37,51.35135054588318,0.5416667,1.2333333,8
