id,name
2,Auburn Tigers
5,UAB Blazers
6,South Alabama Jaguars
8,Arkansas Razorbacks
9,Arizona State Sun Devils
12,Arizona Wildcats
13,Cal Poly Mustangs
16,Sacramento State Hornets
21,San Diego State Aztecs
23,San José State Spartans
24,Stanford Cardinal
25,California Golden Bears
26,UCLA Bruins
27,UC Riverside Highlanders
28,UC San Diego Tritons
30,USC Trojans
36,Colorado State Rams
38,Colorado Buffaloes
41,UConn Huskies
42,Hartford Hawks
43,Yale Bulldogs
44,American University Eagles
45,George Washington Colonials
46,Georgetown Hoyas
47,Howard Bison
48,Delaware Blue Hens
50,Florida A&M Rattlers
52,Florida State Seminoles
55,Jacksonville State Gamecocks
56,Stetson Hatters
57,Florida Gators
58,South Florida Bulls
59,Georgia Tech Yellow Jackets
61,Georgia Bulldogs
62,Hawai'i Rainbow Warriors
66,Iowa State Cyclones
68,Boise State Broncos
70,Idaho Vandals
71,Bradley Braves
77,Northwestern Wildcats
79,Southern Illinois Salukis
82,UIC Flames
84,Indiana Hoosiers
85,IUPUI Jaguars
87,Notre Dame Fighting Irish
91,Bellarmine Knights
93,Murray State Racers
94,Northern Kentucky Norse
96,Kentucky Wildcats
97,Louisville Cardinals
98,Western Kentucky Hilltoppers
99,LSU Tigers
103,Boston College Eagles
104,Boston University Terriers
107,Holy Cross Crusaders
108,Harvard Crimson
111,Northeastern Huskies
113,UMass Minutemen
116,Mount St. Mary's Mountaineers
119,Towson Tigers
120,Maryland Terrapins
127,Michigan State Spartans
130,Michigan Wolverines
135,Minnesota Golden Gophers
139,Saint Louis Billikens
140,Kansas City Roos
142,Missouri Tigers
145,Ole Miss Rebels
147,Montana State Bobcats
149,Montana Grizzlies
150,Duke Blue Devils
151,East Carolina Pirates
152,NC State Wolfpack
153,North Carolina Tar Heels
154,Wake Forest Demon Deacons
155,North Dakota Fighting Hawks
156,Creighton Bluejays
158,Nebraska Cornhuskers
159,Dartmouth Big Green
160,New Hampshire Wildcats
161,Fairleigh Dickinson Knights
163,Princeton Tigers
164,Rutgers Scarlet Knights
166,New Mexico State Aggies
167,New Mexico Lobos
171,Columbia Lions
172,Cornell Big Red
179,St. Bonaventure Bonnies
183,Syracuse Orange
189,Bowling Green Falcons
193,Miami (OH) Redhawks
194,Ohio State Buckeyes
195,Ohio Bobcats
197,Oklahoma State Cowboys
198,Oral Roberts Golden Eagles
201,Oklahoma Sooners
202,Tulsa Golden Hurricane
204,Oregon State Beavers
213,Penn State Nittany Lions
218,Temple Owls
219,Pennsylvania Quakers
221,Pittsburgh Panthers
